etfCode,name,missingField,coverageScore
304780,HANARO 200선물레버리지,distribution,0.45
304780,HANARO 200선물레버리지,sectorCountryWeights,0.45
304780,HANARO 200선물레버리지,feesAndAssets,0.45
305050,ACE 코스피,issuer,0.35
305050,ACE 코스피,benchmarkName,0.35
305050,ACE 코스피,descriptions,0.35
305050,ACE 코스피,strategyFacts,0.35
305050,ACE 코스피,distribution,0.35
305050,ACE 코스피,sectorCountryWeights,0.35
305050,ACE 코스피,feesAndAssets,0.35
305540,TIGER 2차전지테마,issuer,0.35
305540,TIGER 2차전지테마,benchmarkName,0.35
305540,TIGER 2차전지테마,descriptions,0.35
305540,TIGER 2차전지테마,strategyFacts,0.35
305540,TIGER 2차전지테마,distribution,0.35
305540,TIGER 2차전지테마,sectorCountryWeights,0.35
305540,TIGER 2차전지테마,feesAndAssets,0.35
305720,KODEX 2차전지산업,issuer,0.35
305720,KODEX 2차전지산업,benchmarkName,0.35
305720,KODEX 2차전지산업,descriptions,0.35
305720,KODEX 2차전지산업,strategyFacts,0.35
305720,KODEX 2차전지산업,distribution,0.35
305720,KODEX 2차전지산업,sectorCountryWeights,0.35
305720,KODEX 2차전지산업,feesAndAssets,0.35
306530,HANARO 코스닥150선물레버리지,issuer,0.45
306530,HANARO 코스닥150선물레버리지,benchmarkName,0.45
306530,HANARO 코스닥150선물레버리지,descriptions,0.45
306530,HANARO 코스닥150선물레버리지,distribution,0.45
306530,HANARO 코스닥150선물레버리지,sectorCountryWeights,0.45
306530,HANARO 코스닥150선물레버리지,feesAndAssets,0.45
306950,KODEX KRX300레버리지,issuer,0.45
306950,KODEX KRX300레버리지,benchmarkName,0.45
306950,KODEX KRX300레버리지,descriptions,0.45
306950,KODEX KRX300레버리지,distribution,0.45
306950,KODEX KRX300레버리지,sectorCountryWeights,0.45
306950,KODEX KRX300레버리지,feesAndAssets,0.45
307510,TIGER 의료기기,issuer,0.35
307510,TIGER 의료기기,benchmarkName,0.35
307510,TIGER 의료기기,descriptions,0.35
307510,TIGER 의료기기,strategyFacts,0.35
307510,TIGER 의료기기,distribution,0.35
307510,TIGER 의료기기,sectorCountryWeights,0.35
307510,TIGER 의료기기,feesAndAssets,0.35
307520,TIGER 지주회사,issuer,0.35
307520,TIGER 지주회사,benchmarkName,0.35
307520,TIGER 지주회사,descriptions,0.35
307520,TIGER 지주회사,strategyFacts,0.35
307520,TIGER 지주회사,distribution,0.35
307520,TIGER 지주회사,sectorCountryWeights,0.35
307520,TIGER 지주회사,feesAndAssets,0.35
310960,TIGER 200TR,issuer,0.35
310960,TIGER 200TR,benchmarkName,0.35
310960,TIGER 200TR,descriptions,0.35
310960,TIGER 200TR,strategyFacts,0.35
310960,TIGER 200TR,distribution,0.35
310960,TIGER 200TR,sectorCountryWeights,0.35
310960,TIGER 200TR,feesAndAssets,0.35
310970,TIGER MSCI Korea TR,issuer,0.35
310970,TIGER MSCI Korea TR,benchmarkName,0.35
310970,TIGER MSCI Korea TR,descriptions,0.35
310970,TIGER MSCI Korea TR,strategyFacts,0.35
310970,TIGER MSCI Korea TR,distribution,0.35
310970,TIGER MSCI Korea TR,sectorCountryWeights,0.35
310970,TIGER MSCI Korea TR,feesAndAssets,0.35
314700,HANARO 농업융복합산업,issuer,0.35
314700,HANARO 농업융복합산업,benchmarkName,0.35
314700,HANARO 농업융복합산업,descriptions,0.35
314700,HANARO 농업융복합산업,strategyFacts,0.35
314700,HANARO 농업융복합산업,distribution,0.35
314700,HANARO 농업융복합산업,sectorCountryWeights,0.35
314700,HANARO 농업융복합산업,feesAndAssets,0.35
315270,TIGER 200커뮤니케이션서비스,issuer,0.35
315270,TIGER 200커뮤니케이션서비스,benchmarkName,0.35
315270,TIGER 200커뮤니케이션서비스,descriptions,0.35
315270,TIGER 200커뮤니케이션서비스,strategyFacts,0.35
315270,TIGER 200커뮤니케이션서비스,distribution,0.35
315270,TIGER 200커뮤니케이션서비스,sectorCountryWeights,0.35
315270,TIGER 200커뮤니케이션서비스,feesAndAssets,0.35
315930,KODEX Top5PlusTR,issuer,0.35
315930,KODEX Top5PlusTR,benchmarkName,0.35
315930,KODEX Top5PlusTR,descriptions,0.35
315930,KODEX Top5PlusTR,strategyFacts,0.35
315930,KODEX Top5PlusTR,distribution,0.35
315930,KODEX Top5PlusTR,sectorCountryWeights,0.35
315930,KODEX Top5PlusTR,feesAndAssets,0.35
315960,RISE 대형고배당10TR,issuer,0.35
315960,RISE 대형고배당10TR,benchmarkName,0.35
315960,RISE 대형고배당10TR,descriptions,0.35
315960,RISE 대형고배당10TR,strategyFacts,0.35
315960,RISE 대형고배당10TR,distribution,0.35
315960,RISE 대형고배당10TR,sectorCountryWeights,0.35
315960,RISE 대형고배당10TR,feesAndAssets,0.35
316670,KIWOOM 코스닥150,issuer,0.35
316670,KIWOOM 코스닥150,benchmarkName,0.35
316670,KIWOOM 코스닥150,descriptions,0.35
316670,KIWOOM 코스닥150,strategyFacts,0.35
316670,KIWOOM 코스닥150,distribution,0.35
316670,KIWOOM 코스닥150,sectorCountryWeights,0.35
316670,KIWOOM 코스닥150,feesAndAssets,0.35
322400,HANARO e커머스,issuer,0.35
322400,HANARO e커머스,benchmarkName,0.35
322400,HANARO e커머스,descriptions,0.35
322400,HANARO e커머스,strategyFacts,0.35
322400,HANARO e커머스,distribution,0.35
322400,HANARO e커머스,sectorCountryWeights,0.35
322400,HANARO e커머스,feesAndAssets,0.35
322410,HANARO K고배당,issuer,0.35
322410,HANARO K고배당,benchmarkName,0.35
322410,HANARO K고배당,descriptions,0.35
322410,HANARO K고배당,strategyFacts,0.35
322410,HANARO K고배당,distribution,0.35
322410,HANARO K고배당,sectorCountryWeights,0.35
322410,HANARO K고배당,feesAndAssets,0.35
325010,KODEX 성장주,issuer,0.35
325010,KODEX 성장주,benchmarkName,0.35
325010,KODEX 성장주,descriptions,0.35
325010,KODEX 성장주,strategyFacts,0.35
325010,KODEX 성장주,distribution,0.35
325010,KODEX 성장주,sectorCountryWeights,0.35
325010,KODEX 성장주,feesAndAssets,0.35
325020,KODEX 배당가치,issuer,0.35
325020,KODEX 배당가치,benchmarkName,0.35
325020,KODEX 배당가치,descriptions,0.35
325020,KODEX 배당가치,strategyFacts,0.35
325020,KODEX 배당가치,distribution,0.35
325020,KODEX 배당가치,sectorCountryWeights,0.35
325020,KODEX 배당가치,feesAndAssets,0.35
326230,RISE 내수주플러스,issuer,0.35
326230,RISE 내수주플러스,benchmarkName,0.35
326230,RISE 내수주플러스,descriptions,0.35
326230,RISE 내수주플러스,strategyFacts,0.35
326230,RISE 내수주플러스,distribution,0.35
326230,RISE 내수주플러스,sectorCountryWeights,0.35
326230,RISE 내수주플러스,feesAndAssets,0.35
326240,RISE IT플러스,issuer,0.35
326240,RISE IT플러스,benchmarkName,0.35
326240,RISE IT플러스,descriptions,0.35
326240,RISE IT플러스,strategyFacts,0.35
326240,RISE IT플러스,distribution,0.35
326240,RISE IT플러스,sectorCountryWeights,0.35
326240,RISE IT플러스,feesAndAssets,0.35
328370,PLUS 코스피TR,issuer,0.35
328370,PLUS 코스피TR,benchmarkName,0.35
328370,PLUS 코스피TR,descriptions,0.35
328370,PLUS 코스피TR,strategyFacts,0.35
328370,PLUS 코스피TR,distribution,0.35
328370,PLUS 코스피TR,sectorCountryWeights,0.35
328370,PLUS 코스피TR,feesAndAssets,0.35
329200,TIGER 리츠부동산인프라,issuer,0.35
329200,TIGER 리츠부동산인프라,benchmarkName,0.35
329200,TIGER 리츠부동산인프라,descriptions,0.35
329200,TIGER 리츠부동산인프라,strategyFacts,0.35
329200,TIGER 리츠부동산인프라,distribution,0.35
329200,TIGER 리츠부동산인프라,sectorCountryWeights,0.35
329200,TIGER 리츠부동산인프라,feesAndAssets,0.35
332500,ACE 200TR,issuer,0.35
332500,ACE 200TR,benchmarkName,0.35
332500,ACE 200TR,descriptions,0.35
332500,ACE 200TR,strategyFacts,0.35
332500,ACE 200TR,distribution,0.35
332500,ACE 200TR,sectorCountryWeights,0.35
332500,ACE 200TR,feesAndAssets,0.35
332930,HANARO 200TR,issuer,0.35
332930,HANARO 200TR,benchmarkName,0.35
332930,HANARO 200TR,descriptions,0.35
332930,HANARO 200TR,strategyFacts,0.35
332930,HANARO 200TR,distribution,0.35
332930,HANARO 200TR,sectorCountryWeights,0.35
332930,HANARO 200TR,feesAndAssets,0.35
332940,HANARO MSCI Korea TR,issuer,0.35
332940,HANARO MSCI Korea TR,benchmarkName,0.35
332940,HANARO MSCI Korea TR,descriptions,0.35
332940,HANARO MSCI Korea TR,strategyFacts,0.35
332940,HANARO MSCI Korea TR,distribution,0.35
332940,HANARO MSCI Korea TR,sectorCountryWeights,0.35
332940,HANARO MSCI Korea TR,feesAndAssets,0.35
337120,KODEX 멀티팩터,issuer,0.35
337120,KODEX 멀티팩터,benchmarkName,0.35
337120,KODEX 멀티팩터,descriptions,0.35
337120,KODEX 멀티팩터,strategyFacts,0.35
337120,KODEX 멀티팩터,distribution,0.35
337120,KODEX 멀티팩터,sectorCountryWeights,0.35
337120,KODEX 멀티팩터,feesAndAssets,0.35
337140,KODEX 코스피대형주,issuer,0.35
337140,KODEX 코스피대형주,benchmarkName,0.35
337140,KODEX 코스피대형주,descriptions,0.35
337140,KODEX 코스피대형주,strategyFacts,0.35
337140,KODEX 코스피대형주,distribution,0.35
337140,KODEX 코스피대형주,sectorCountryWeights,0.35
337140,KODEX 코스피대형주,feesAndAssets,0.35
337150,KODEX 200exTOP,issuer,0.35
337150,KODEX 200exTOP,benchmarkName,0.35
337150,KODEX 200exTOP,descriptions,0.35
337150,KODEX 200exTOP,strategyFacts,0.35
337150,KODEX 200exTOP,distribution,0.35
337150,KODEX 200exTOP,sectorCountryWeights,0.35
337150,KODEX 200exTOP,feesAndAssets,0.35
337160,KODEX 200ESG,issuer,0.35
337160,KODEX 200ESG,benchmarkName,0.35
337160,KODEX 200ESG,descriptions,0.35
337160,KODEX 200ESG,strategyFacts,0.35
337160,KODEX 200ESG,distribution,0.35
