etfCode,name,codeType,hasMetadata,coverageScore,holdingsCount,hasIssuer,hasFee,hasDistribution,taggedTagCount,tags
0118Z0,ACE 미국AI테크핵심산업액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0119H0,KODEX 28-12 회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0120J0,BNK 카카오그룹포커스,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.game_entertainment_media
0122W0,RISE 26-11 회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0123G0,TIGER 미국AI전력SMR,naver_internal_unresolved,N,,0,N,N,N,0,
0123S0,HANARO 26-12 은행채(AA+이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0127M0,ACE 미국대형가치주액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0127P0,ACE 미국대형성장주액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0127R0,RISE 미국AI클라우드인프라,naver_internal_unresolved,N,,0,N,N,N,0,
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,naver_internal_unresolved,N,,0,N,N,N,0,
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,naver_internal_unresolved,N,,0,N,N,N,0,
0128D0,PLUS 차이나항셍테크위클리타겟커버드콜,naver_internal_unresolved,N,,0,N,N,N,0,
0131A0,SOL 차이나소비트렌드,naver_internal_unresolved,N,,0,N,N,N,0,
0131V0,1Q 미국우주항공테크,naver_internal_unresolved,N,,0,N,N,N,0,
0131W0,1Q 단기특수은행채액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0132D0,KoAct 글로벌K컬처밸류체인액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0132H0,KODEX 미국원자력SMR,naver_internal_unresolved,N,,0,N,N,N,0,
0132K0,PLUS 테슬라위클리커버드콜채권혼합,naver_internal_unresolved,N,,0,N,N,N,0,
0133E0,TIGER 차이나증권,naver_internal_unresolved,N,,0,N,N,N,0,
0135Y0,IBK 중기종합채권(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0137V0,KIWOOM 미국S&P500모멘텀,naver_internal_unresolved,N,,0,N,N,N,0,
0137W0,KIWOOM 미국S&P500&GOLD,naver_internal_unresolved,N,,0,N,N,N,0,
0138D0,RISE 동학개미,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0138T0,RISE 미국S&P500데일리고정커버드콜,naver_internal_unresolved,N,,0,N,N,N,0,
0138Y0,PLUS 금채권혼합,naver_internal_unresolved,N,,0,N,N,N,0,
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0139P0,ACE 고배당주,naver_internal_unresolved,Y,0.35,10,N,N,N,1,dividend.korea_high_dividend
0141S0,SOL 조선기자재,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0141T0,SOL 중기종합채권(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0142D0,TIGER 미국AI데이터센터TOP4Plus,naver_internal_unresolved,N,,0,N,N,N,0,
0144L0,KODEX 미국성장커버드콜액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0144M0,KODEX 미국드론UAM TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0148J0,TIGER 코리아휴머노이드로봇산업,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0150K0,KoAct 수소전력ESS인프라액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.ev_battery
0151P0,RISE 코리아전략산업액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0151S0,KODEX 미국AI반도체TOP3플러스,naver_internal_unresolved,N,,0,N,N,N,0,
0152E0,SOL 배당성향탑픽액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.korea_high_dividend|sector.financials
0153K0,KODEX 주주환원고배당주,naver_internal_unresolved,Y,0.35,10,N,N,N,2,dividend.korea_high_dividend|sector.financials
0153P0,ACE 리츠부동산인프라액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,strategy.reit
0153X0,PLUS 미국고배당주액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0154F0,WON 초대형IB&금융지주,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.financials
0154H0,KoAct 차이나바이오헬스케어액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0155M0,ACE 미국SMR원자력TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0155N0,HANARO K휴머노이드테마TOP10,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0162L0,KODEX 차이나AI반도체TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0162M0,KODEX 금융채1~2년(AA-이상)PLUS액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0162Y0,TIME 코스닥액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0163Y0,KoAct 코스닥액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0164G0,RISE 차이나AI반도체TOP4Plus,naver_internal_unresolved,N,,0,N,N,N,0,
0166N0,PLUS 코스닥150액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,0,
0166S0,PLUS K제조업핵심기업액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0166T0,PLUS 글로벌저작권핵심기업액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0167A0,SOL AI반도체TOP2플러스,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.semiconductor
0167B0,SOL 200타겟위클리커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,1,dividend.covered_call
0167Z0,KODEX 미국우주항공,naver_internal_unresolved,N,,0,N,N,N,0,
0168K0,TIGER 기술이전바이오액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.healthcare_bio_pharma
0172V0,1Q 은액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0172Y0,ACE K수출핵심TOP10산업액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,0,
0173Y0,KODEX 미국AI광통신네트워크,naver_internal_unresolved,N,,0,N,N,N,0,
0174B0,KoAct 글로벌AI메모리반도체액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0174J0,DAISHIN343 오피스리츠플러스,naver_internal_unresolved,Y,0.35,10,N,N,N,1,strategy.reit
0174R0,KIWOOM 미국성장다우존스,naver_internal_unresolved,N,,0,N,N,N,0,
0176E0,RISE 미국AI전력인프라액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0176P0,FOCUS AI반도체위클리고정커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.covered_call|sector.semiconductor
0177A0,WON 두산그룹포커스,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0177R0,TIGER 반도체TOP10커버드콜액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.covered_call|sector.semiconductor
0177X0,ACE K휴머노이드로봇산업TOP2+,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0178H0,IBK 미국AI TOP10국채혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0180V0,ACE 미국우주테크액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0181B0,HANARO 미국AI메모리반도체TOP4+,naver_internal_unresolved,N,,0,N,N,N,0,
0181L0,SOL 미국우주항공TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0182R0,1Q K반도체TOP2+,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.semiconductor
0182S0,1Q K반도체TOP2채권혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0183J0,TIGER 미국우주테크,naver_internal_unresolved,N,,0,N,N,N,0,
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0184E0,1Q 200채권혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0184L0,PLUS 중기종합채권(A-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0184N0,PLUS 은채권혼합,naver_internal_unresolved,N,,0,N,N,N,0,
0184V0,UNICORN K바이오액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.healthcare_bio_pharma
0185L0,TIME 글로벌휴머노이드로봇산업액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0186L0,KoAct 미국로봇피지컬AI액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0186S0,1Q 코스닥150채권혼합50액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0189B0,TIGER 은액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0189Z0,DAISHIN343 금융&지주고배당,naver_internal_unresolved,Y,0.35,10,N,N,N,2,sector.financials|dividend.korea_high_dividend
0190C0,RISE 현대차고정피지컬AI,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0190G0,KODEX 반도체타겟위클리커버드콜,naver_internal_unresolved,Y,0.45,10,N,N,N,2,dividend.covered_call|sector.semiconductor
0190M0,KIWOOM 미국AI테크하이베타,naver_internal_unresolved,N,,0,N,N,N,0,
0190Y0,TIGER 구글밸류체인,naver_internal_unresolved,N,,0,N,N,N,0,
0191B0,MIDAS 코스닥액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0191M0,마이티 5월만기자동연장특수채(AAA)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0191S0,IBK 코스닥150,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0191W0,HANARO 중기종합채권(A-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0192L0,RISE SK하이닉스단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0192M0,RISE 삼성전자단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0192S0,SOL 코스피200채권혼합50,naver_internal_unresolved,N,,0,N,N,N,0,
0192T0,SOL 코스닥TOP10,naver_internal_unresolved,Y,0.35,10,N,N,N,3,sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor
0192Z0,TIGER 중기종합채권(A-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0193G0,KoAct 코스피액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.semiconductor
0193K0,PLUS 삼성전자단일종목레버리지,naver_internal_unresolved,Y,0.45,3,N,N,N,2,strategy.leverage|sector.semiconductor
0193L0,PLUS 삼성전자선물단일종목인버스2X,naver_internal_unresolved,Y,0.75,2,Y,Y,Y,2,strategy.leverage|strategy.inverse
0193M0,BNK 27-12 특수채(AAA이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0193T0,KODEX SK하이닉스단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0193W0,KODEX 삼성전자단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0194M0,ACE 삼성전자단일종목레버리지,naver_internal_unresolved,Y,0.45,2,N,N,N,2,strategy.leverage|sector.semiconductor
0194N0,KIWOOM 삼성전자선물단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0194R0,KIWOOM SK하이닉스선물단일종목레버리지,naver_internal_unresolved,Y,0.45,1,N,N,N,2,strategy.leverage|sector.semiconductor
0194T0,ACE SK하이닉스단일종목레버리지,naver_internal_unresolved,Y,0.45,2,N,N,N,2,strategy.leverage|sector.semiconductor
