shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"395760","PLUS ESG성장주액티브","006339","ok","FnGuide Hanwha ESG Growth Index","배당금 발생시 1,4,7,10월, 마지막 영업일 및 회계기간 종료일 기준 지급(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","e8e55598c2323043488175c9327653620266ec38405bc444ab6764c2d9897902"
"415920","PLUS 글로벌희토류&전략자원생산기업","006342","ok","MVIS Global Rare Earth/Strategic Metals Index","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","59a5de0b9018e5f959e15c1fa3c659e9f4e4b2a00fc01269c597bbe0ff6a3b16"
"419650","PLUS 글로벌수소&차세대연료전지","006343","ok","BlueStar Hydrogen and NextGen Fuel Cell Index","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","68488e3f4a3e6ced03bd761e42eb23783f8a037903b86655f176aeba66c2549a"
"421320","PLUS 우주항공","006344","ok","iSelect 우주항공UAM 지수","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","59a04e8598c631f130554a34dbb101b09e155f09d9bed5c91ff785ec21c73a6e"
"429740","PLUS K리츠","006347","ok","FnGuide 리츠 지수","분배금 지급 사유 발생시 매월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","c0371de18d65b9dfd667719b007fb0ad932221addc2a7c7ca7d760b0d1f55851"
"429760","PLUS 미국S&P500","006346","ok","S&P 500","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","523a7e0be6f8c8dc90145a4143efb5e462e5fab0b979bfb5e9e0bc37fbe9d026"
"433880","PLUS TDF2060액티브 적격","006357","ok","Morningstar Korea Lifetime Allocation Moderate 2060 Index(원화환산)","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","c6e79b2aceb170a0d6812f67ddb40eaa5efb5b2532167469ec7de6f370a6aae7"
"442580","PLUS 글로벌HBM반도체","006236","ok","iSelect 글로벌 HBM반도체 지수","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능","9b45688a9cdac2fe6ef35852c4976c318f06c4bbaf4134fc763a25f3ded9143c"
"447660","PLUS 애플채권혼합","006237","ok","FnGuide 애플채권혼합 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","38258f0e54c73e3399d96f76b3cde93ecb703c19c7615e3b2c45aaf2e82814f1"
"449450","PLUS K방산","006192","ok","FnGuide K-방위산업 지수","매 1월, 4월, 7월, 10월 마지막 영업일","6bd7b2b99d98b7eeeb7cd3de53a4e6bd026ceb165a5a7050a34eaa60290309d1"
