shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"452360","SOL 미국배당다우존스(H)","210972","ok","Dow Jones U.S. Dividend 100 Index(PR)","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","c71a034d9ddb204aea94d9d71746c2888a1ed880e55c92ded009b7141bcbda0f"
"455850","SOL AI반도체소부장","210980","ok","FnGuide AI 반도체 소부장 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","8ad7822b62d212db9854de71c10f8a71c442ddddfd28fc93d47ddd1c786d5814"
"455860","SOL 2차전지소부장Fn","210981","ok","FnGuide 2차전지 소부장 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","a1ed77011055b3e625b95da2822529dcea84113dfe4ee463da31ce698e8c6949"
"461600","SOL 미국30년국채액티브(H)","211000","partial","","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","3054fab709b611b1e9c3582fdb70eabc1ce485beb205bdf4df51990bf2a0aab2"
"464600","SOL 자동차소부장Fn","211016","ok","FnGuide 자동차 소부장 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","702270d7e0fe4497d35041849533e5cb79b93c67bb31beb4d3d226424a2fcfe9"
"464610","SOL 의료기기소부장Fn","211015","ok","FnGuide 의료기기 소부장 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","88f68ea661dab2b44acab805d255eff474a8268fcf4118e5c7f6602769d578bd"
"466920","SOL 조선TOP3플러스","211028","ok","FnGuide 조선 TOP3 플러스 지수 (PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","e7daa16898f3fff870210e420a679ebf5e234c30d35de357ba6b52a99abd8f2e"
"466930","SOL 자동차TOP3플러스","211027","ok","FnGuide 자동차 TOP3 플러스 지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","84f7a85e71b4804fba05ef8d9a6a3968d6f84c63d4df7ed863543dc28ff525fa"
"469830","SOL 초단기채권액티브","211038","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","4d55d48febf97006ff0def57c13d502c47bd5018dad44ee4ec7d205861ebf6f7"
"473330","SOL 미국30년국채커버드콜(합성)","211044","ok","KEDI 미국국채20년+ 커버드콜지수(NTR)","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","d89063bae38bc8e74a19cf39d2a6582a05889544d9b20697a1fdf673da279761"
"474390","SOL 국고채30년액티브","211049","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","25a6923638c2a7342b9393891353d0e5dd53fc08c30565899d7abc2cf7cef6a4"
"475300","SOL 반도체전공정","211053","ok","FnGuide 반도체 전공정 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","3ed7d77470ea53c2ac1dd2bfe5c0c472cda64f609b78a1b27ae8b7819e5f74f2"
"475310","SOL 반도체후공정","211054","ok","FnGuide 반도체 후공정 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","aaa9bf1e3d8963b556ec23d2f6fdf3c7b5fe0a64b89f4022862178ed259ab479"
"476030","SOL 미국나스닥100","211056","ok","NASDAQ 100 Index(PR)","연 4회 지급; - 지급 기준일 : 1,4,7,10월의 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","0b0357c9fb64b03cf30a3a41f354e8f9356a111eb35360e190ce00286dd8a857"
"479620","SOL 미국AI반도체칩메이커","211057","ok","Solactive US AI Semiconductor Chip Makers Index(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","a6647fcf548f67d18fc7e082139949b3bb59ca68fabd10e8aa737fa6de6994b7"
"481180","SOL 미국AI소프트웨어","211058","ok","KEDI 미국 AI 소프트웨어 지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","b5072b5da69667b8efcd801541fcf81546e889bc3c2af355b48cdbfe5fa3baee"
"481190","SOL 미국테크TOP10","211059","ok","Solactive US Tech TOP 10 Custom Index(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","9fff33b00e771dc17994bdc2b93fa4e6f3ea1fa511a2f849e3c31e74c0d857aa"
"484880","SOL 금융지주플러스고배당","211061","ok","FnGuide 금융지주플러스고배당(PR)","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","5794a2d43682f0d76aaef54dc7549c1ac894e28f7eab1edaa4e0718e2ae57eaa"
"484890","SOL 머니마켓액티브","211062","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","219faa65ff20ff4fcebf6ceaa1ffa7b5a80d931ec4c767484b5ac3a941189c8d"
"486450","SOL 미국AI전력인프라","211063","ok","KEDI 미국AI전력인프라지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","f1a1328f842eb0d2b1c185a0f6925bbcc271359b895c4434c6831a4b75f1fddf"
"488980","SOL 26-12 회사채(AA-이상)액티브","211065","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","6feac95c2eb46780a2db5e4591a3e9679b210b3c964a3d212a8e3c22639acac7"
"490480","SOL K방산","211070","ok","KEDI 방산 지수","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","04d5a84f02e850caba198ff47b3841b43b348aa0f3051a2fb46087a35c3f1098"
"490490","SOL 미국배당미국채혼합50","211068","ok","KRX 다우존스미국배당국채혼합지수(PR)","월 1회 지급; - 지급 기준일 : 매월 15일 (15일이 영업일이 아닌 경우 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","777a64237f04ff80efbfc56e132b817fad0aaba6ff293b15ac3444fcda754f6e"
"493420","SOL 미국배당다우존스2호","211069","ok","Dow Jones U.S. Dividend 100 Index(PR)","월 1회 지급; - 지급 기준일 : 매월 15일 (15일이 영업일이 아닌 경우 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","6058efebfb35d87065162382ea24ecfb8f59a25bd7fa382bf979e53588a132b4"
"494210","SOL 미국500타겟데일리커버드콜액티브","211064","partial","","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","c225b2e9fdfa0993f7b94d02d04056ef10b68cbff461eed5e7528479b9b43594"
"495550","SOL 코리아밸류업TR","211073","ok","Korea Value-up Index(TR: Total Return)","미지급","c92a71ff1603b48d875ef864e0d68368702b14087c40741db7eaec126c29c167"
"497880","SOL CD금리&머니마켓액티브","211074","partial","","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","404909ed072fca8ec6528718be779455374a12f84be5206e3bc8a07a9b42c2fc"
"499150","SOL 미국S&P500엔화노출(H)","211071","ok","S&P500 Yen Hedged Index(PR)","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","64c43b89e8731e9cce74e94c73723e499cfbfb256316e73d7bfd553862247ce1"
