universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
239660,239660,PLUS 우량회사채50,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
241180,241180,TIGER 일본니케이225,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
241390,241390,RISE V&S셀렉트밸류채권혼합,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
243880,243880,TIGER 200IT레버리지,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
243890,243890,TIGER 200에너지화학레버리지,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
244580,244580,KODEX 바이오,partial,48,C,9,9,unknown,n/a,unknown,n/a,eligible,insufficient
244620,244620,KODEX 모멘텀Plus,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
244660,244660,KODEX 퀄리티Plus,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
244670,244670,KODEX 밸류Plus,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
245340,245340,TIGER 미국다우존스30,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
245350,245350,TIGER 유로스탁스배당30,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
245360,245360,TIGER 차이나HSCEI,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
245710,245710,ACE 베트남VN30(합성),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
248270,248270,TIGER S&P글로벌헬스케어(합성),partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
250730,250730,RISE 차이나HSCEI(H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
250780,250780,TIGER 코스닥150선물인버스,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
251340,251340,KODEX 코스닥150선물인버스,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
251350,251350,KODEX MSCI선진국,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
251590,251590,PLUS 고배당저변동50,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
251600,251600,PLUS 고배당주채권혼합,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
252000,252000,TIGER 200동일가중,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
252400,252400,RISE 200선물레버리지,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
252410,252410,RISE 200선물인버스,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
