etfCode,etfName,rank,holdingCode,holdingName,quantity,weightPct,status
091160,KODEX 반도체,6,319660,피에스케이,818,2.32,OK
091160,KODEX 반도체,7,058470,리노공업,"2,058",2.29,OK
091160,KODEX 반도체,8,000990,DB하이텍,"1,265",2.15,OK
091160,KODEX 반도체,9,039030,이오테크닉스,348,1.92,OK
091160,KODEX 반도체,10,403870,HPSP,"2,701",1.74,OK
498400,KODEX 200타겟위클리커버드콜,1,005930,삼성전자,"2,278",27.52,OK
498400,KODEX 200타겟위클리커버드콜,2,000660,SK하이닉스,271,23.74,OK
498400,KODEX 200타겟위클리커버드콜,3,069500,KODEX 200,"2,905",15.01,OK
498400,KODEX 200타겟위클리커버드콜,4,402340,SK스퀘어,46,2.54,OK
498400,KODEX 200타겟위클리커버드콜,5,009150,삼성전기,28,1.71,OK
498400,KODEX 200타겟위클리커버드콜,6,005380,현대차,68,1.43,OK
498400,KODEX 200타겟위클리커버드콜,7,105560,KB금융,151,1.33,OK
498400,KODEX 200타겟위클리커버드콜,8,055550,신한지주,204,1.05,OK
498400,KODEX 200타겟위클리커버드콜,9,000270,기아,121,0.82,OK
498400,KODEX 200타겟위클리커버드콜,10,028260,삼성물산,48,0.82,OK
310970,TIGER MSCI Korea TR,1,005930,삼성전자,"6,370",33.56,OK
310970,TIGER MSCI Korea TR,2,000660,SK하이닉스,752,28.72,OK
310970,TIGER MSCI Korea TR,3,005935,삼성전자우,"1,093",4.00,OK
310970,TIGER MSCI Korea TR,4,402340,SK스퀘어,126,3.03,OK
310970,TIGER MSCI Korea TR,5,009150,삼성전기,76,2.03,OK
310970,TIGER MSCI Korea TR,6,105560,KB금융,482,1.86,OK
310970,TIGER MSCI Korea TR,7,005380,현대차,181,1.66,OK
310970,TIGER MSCI Korea TR,8,055550,신한지주,566,1.27,OK
310970,TIGER MSCI Korea TR,9,086790,하나금융지주,370,1.02,OK
310970,TIGER MSCI Korea TR,10,000270,기아,319,0.95,OK
148020,RISE 200,1,005930,삼성전자,"7,025",32.71,OK
148020,RISE 200,2,000660,SK하이닉스,835,28.19,OK
148020,RISE 200,3,402340,SK스퀘어,138,2.93,OK
148020,RISE 200,4,009150,삼성전기,84,1.98,OK
148020,RISE 200,5,005380,현대차,206,1.67,OK
148020,RISE 200,6,105560,KB금융,459,1.56,OK
148020,RISE 200,7,055550,신한지주,621,1.23,OK
148020,RISE 200,8,000270,기아,368,0.97,OK
148020,RISE 200,9,028260,삼성물산,146,0.96,OK
148020,RISE 200,10,086790,하나금융지주,376,0.91,OK
229200,KODEX 코스닥150,1,196170,알테오젠,169,7.77,OK
229200,KODEX 코스닥150,2,086520,에코프로,406,4.93,OK
229200,KODEX 코스닥150,3,247540,에코프로비엠,224,3.90,OK
229200,KODEX 코스닥150,4,036930,주성엔지니어링,129,3.42,OK
229200,KODEX 코스닥150,5,240810,원익IPS,137,2.49,OK
229200,KODEX 코스닥150,6,319660,피에스케이,82,2.20,OK
229200,KODEX 코스닥150,7,058470,리노공업,206,2.16,OK
229200,KODEX 코스닥150,8,298380,에이비엘바이오,172,1.98,OK
229200,KODEX 코스닥150,9,277810,레인보우로보틱스,32,1.93,OK
229200,KODEX 코스닥150,10,039030,이오테크닉스,35,1.83,OK
360200,ACE 미국S&P500,,,,,,EMPTY_NO_TABLE
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,1,005930,삼성전자,"1,263",-,OK
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,2,000660,SK하이닉스,164,-,OK
458730,TIGER 미국배당다우존스,,,,,,EMPTY_NO_TABLE
411060,ACE KRX금현물,,,,,,EMPTY_NO_TABLE
395160,KODEX AI반도체TOP2플러스,1,000660,SK하이닉스,556,25.57,OK
395160,KODEX AI반도체TOP2플러스,2,005930,삼성전자,"3,945",25.03,OK
395160,KODEX AI반도체TOP2플러스,3,402340,SK스퀘어,855,24.74,OK
395160,KODEX AI반도체TOP2플러스,4,009150,삼성전기,521,16.74,OK
395160,KODEX AI반도체TOP2플러스,5,042700,한미반도체,401,2.05,OK
395160,KODEX AI반도체TOP2플러스,6,007660,이수페타시스,519,1.29,OK
395160,KODEX AI반도체TOP2플러스,7,058470,리노공업,473,0.85,OK
395160,KODEX AI반도체TOP2플러스,8,319660,피에스케이,185,0.85,OK
395160,KODEX AI반도체TOP2플러스,9,000990,DB하이텍,291,0.80,OK
395160,KODEX AI반도체TOP2플러스,10,403870,HPSP,613,0.64,OK
381170,TIGER 미국테크TOP10 INDXX,,,,,,EMPTY_NO_TABLE
273130,KODEX 종합채권(AA-이상)액티브,,,,,,EMPTY_NO_TABLE
395270,HANARO Fn K-반도체,1,000660,SK하이닉스,408,26.39,OK
395270,HANARO Fn K-반도체,2,005930,삼성전자,"2,769",24.71,OK
395270,HANARO Fn K-반도체,3,402340,SK스퀘어,550,22.39,OK
395270,HANARO Fn K-반도체,4,009150,삼성전기,330,14.91,OK
395270,HANARO Fn K-반도체,5,042700,한미반도체,254,1.83,OK
395270,HANARO Fn K-반도체,6,036930,주성엔지니어링,199,1.27,OK
395270,HANARO Fn K-반도체,7,007660,이수페타시스,328,1.15,OK
395270,HANARO Fn K-반도체,8,240810,원익IPS,193,0.84,OK
395270,HANARO Fn K-반도체,9,058470,리노공업,299,0.76,OK
395270,HANARO Fn K-반도체,10,319660,피에스케이,117,0.76,OK
367380,ACE 미국나스닥100,,,,,,EMPTY_NO_TABLE
0193T0,KODEX SK하이닉스단일종목레버리지,1,000660,SK하이닉스,224,88.62,OK
423160,KODEX KOFR금리액티브(합성),,,,,,EMPTY_NO_TABLE
357870,TIGER CD금리투자KIS(합성),,,,,,EMPTY_NO_TABLE
102780,KODEX 삼성그룹,1,005930,삼성전자,"2,581",26.20,OK
102780,KODEX 삼성그룹,2,009150,삼성전기,385,19.79,OK
102780,KODEX 삼성그룹,3,028260,삼성물산,781,11.25,OK
102780,KODEX 삼성그룹,4,032830,삼성생명,685,8.91,OK
102780,KODEX 삼성그룹,5,006400,삼성SDI,480,8.42,OK
102780,KODEX 삼성그룹,6,000810,삼성화재,240,6.12,OK
102780,KODEX 삼성그룹,7,207940,삼성바이오로직스,94,5.25,OK
102780,KODEX 삼성그룹,8,010140,삼성중공업,"5,313",4.67,OK
102780,KODEX 삼성그룹,9,018260,삼성에스디에스,309,2.34,OK
102780,KODEX 삼성그룹,10,016360,삼성증권,495,2.15,OK
487240,KODEX AI전력핵심설비,1,298040,효성중공업,259,20.14,OK
487240,KODEX AI전력핵심설비,2,010120,LS ELECTRIC,"3,663",19.71,OK
487240,KODEX AI전력핵심설비,3,267260,HD현대일렉트릭,814,18.71,OK
487240,KODEX AI전력핵심설비,4,006260,LS,"1,543",13.66,OK
487240,KODEX AI전력핵심설비,5,001440,대한전선,"10,410",8.59,OK
487240,KODEX AI전력핵심설비,6,062040,산일전기,"1,206",5.97,OK
487240,KODEX AI전력핵심설비,7,103590,일진전기,"2,183",3.88,OK
487240,KODEX AI전력핵심설비,8,000500,가온전선,518,3.74,OK
487240,KODEX AI전력핵심설비,9,006340,대원전선,"5,027",1.59,OK
487240,KODEX AI전력핵심설비,10,229640,LS에코에너지,"1,010",1.26,OK
0043B0,TIGER 머니마켓액티브,,,,,,EMPTY_NO_TABLE
