etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
457690,KODEX 33-06 국고채액티브,krx_numeric,삼성자산운용,KAP 33-06 국고채 총수익 지수,thin,25,D,low,low,low,low,none,0,5,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
457700,KODEX 53-09 국고채액티브,krx_numeric,삼성자산운용,KAP 53-09 국고채 총수익 지수,thin,25,D,low,low,low,low,none,0,5,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
457930,BNK 미래전략기술액티브,krx_numeric,BNK자산운용,iSelect 미래전략기술 지수 (PR),enriched,40,C,low,low,medium,low,none,10,3,true,상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
457990,PLUS 태양광&ESS,krx_numeric,한화자산운용,FnGuide 태양광 & ESS 지수,enriched,76,A,medium,low,medium,medium,high,10,5,true,산업·국가 비중
458030,WON 국공채머니마켓액티브,krx_numeric,우리자산운용,KAP 국공채 머니마켓 총수익 지수,enriched,61,B,medium,low,low,medium,high,0,4,false,구성종목|산업·국가 비중
458210,KIWOOM CD금리액티브(합성),krx_numeric,키움투자자산운용,FnGuide CD91일 금리투자 지수(총수익),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
458250,TIGER 미국30년국채스트립액티브(합성 H),krx_numeric,미래에셋자산운용,ICE BofA Long US Treasury Principal STRIPS Index,enriched,68,B,medium,low,medium,medium,low,6,4,false,산업·국가 비중|실제 분배금 이력
458260,TIGER 미국투자등급회사채액티브(H),krx_numeric,미래에셋자산운용,iBoxx USD Liquid Investment Grade Index(Price Return),enriched,68,B,medium,low,medium,medium,low,630,4,false,산업·국가 비중|실제 분배금 이력
458730,TIGER 미국배당다우존스,krx_numeric,미래에셋자산운용,Dow Jones U.S. Dividend 100 Price Return Index,enriched,68,B,medium,low,medium,medium,low,100,3,false,산업·국가 비중|실제 분배금 이력
458750,TIGER 미국배당다우존스타겟커버드콜1호,krx_numeric,미래에셋자산운용,DowJones U.S. Dividend 100 3% Premium Covered Call 지수 (TR),enriched,72,B,medium,low,medium,medium,low,102,4,false,산업·국가 비중|실제 분배금 이력
458760,TIGER 미국배당다우존스타겟커버드콜2호,krx_numeric,미래에셋자산운용,DowJones U.S. Dividend 100 7% Premium Covered Call 지수 (TR),enriched,72,B,medium,low,medium,medium,low,102,4,false,산업·국가 비중|실제 분배금 이력
459560,KODEX 테슬라밸류체인FactSet,krx_numeric,삼성자산운용,FactSet TSLA Value Chain Index(PR),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
459580,KODEX CD금리액티브(합성),krx_numeric,삼성자산운용,KAP 양도성예금증서(CD)금리지수(총수익지수),thin,25,D,low,low,low,low,none,0,4,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
459750,RISE 글로벌주식분산액티브,krx_numeric,KB자산운용,Bloomberg Global Equity Market Weighted Index(Price Return),enriched,61,B,medium,low,low,medium,high,0,3,false,구성종목|산업·국가 비중
459790,KIWOOM 미국성장기업30액티브,krx_numeric,키움투자자산운용,MSCI USA Index(Price Return),thin,25,D,low,low,low,low,none,0,3,false,상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
