etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
0040X0,SOL 팔란티어미국채커버드콜혼합,naver_internal_unresolved,,KEDI 팔란티어미국채커버드콜혼합지수(NTR),thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,naver_internal_unresolved,,KEDI 팔란티어커버드콜OTM 채권혼합지수(NTR),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0041D0,KODEX 미국AI소프트웨어TOP10,naver_internal_unresolved,,iSelect 미국 AI 소프트웨어 TOP10 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0041E0,KODEX 미국S&P500액티브,naver_internal_unresolved,,S&P 500,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0043B0,TIGER 머니마켓액티브,naver_internal_unresolved,,KIS-미래에셋 MMF지수,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0043Y0,TIME 차이나AI테크액티브,naver_internal_unresolved,,Solactive China Artificial Intelligence 지수(원화환산)(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0046A0,TIGER 미국초단기(3개월이하)국채,naver_internal_unresolved,,ICE 0-3 Month US Treasury Securities 지수,thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0046Y0,ACE 미국배당퀄리티,naver_internal_unresolved,,WisdomTree U.S. Quality Dividend Growth Index (Price Return),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0047A0,TIGER 차이나테크TOP10,naver_internal_unresolved,,Mirae Asset China Tech Top 10 지수 (Price Return),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0047N0,PLUS 차이나AI테크TOP10,naver_internal_unresolved,,Solactive China AI Tech Top10 Index(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0047P0,RISE 테슬라고정테크100,naver_internal_unresolved,,KEDI 테슬라고정테크100 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0047R0,RISE 팔란티어고정테크100,naver_internal_unresolved,,KEDI 팔란티어고정테크100 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0048J0,KODEX 미국머니마켓액티브,naver_internal_unresolved,,KAP 미국 머니마켓 지수,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0048K0,KODEX 차이나휴머노이드로봇,naver_internal_unresolved,,Solactive China Humanoid Robotics Index (CNH) (Price Return),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0049K0,ACE 미국배당퀄리티채권혼합50,naver_internal_unresolved,한국투자신탁운용,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,enriched,46,C,medium,low,low,medium,low,0,4,true,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
0049M0,ACE 미국배당퀄리티+커버드콜액티브,naver_internal_unresolved,,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0050E0,PLUS 미국AI에이전트,naver_internal_unresolved,,Solactive US AI Agents Index(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0051A0,KoAct 브로드컴밸류체인액티브,naver_internal_unresolved,,FactSet 브로드컴밸류체인 지수,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0051G0,SOL 미국원자력SMR,naver_internal_unresolved,,KEDI 미국원자력 SMR 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0052D0,TIGER 코리아배당다우존스,naver_internal_unresolved,,Dow Jones Korea Dividend 30 지수 (Price Return),enriched,48,C,low,low,medium,low,none,10,4,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0052S0,1Q 미국S&P500미국채혼합50액티브,naver_internal_unresolved,,S&P 500 and Short-Term Treasury 50/50 Blend Index,thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0052T0,1Q 중단기회사채(A-이상)액티브,naver_internal_unresolved,,KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0053L0,TIGER 차이나휴머노이드로봇,naver_internal_unresolved,,Mirae Asset China Humanoid Robot 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0053M0,더제이 중소형포커스액티브,naver_internal_unresolved,,코스피 200 중소형주지수,enriched,52,C,low,low,medium,medium,none,10,4,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0057H0,PLUS 미국S&P500미국채혼합50액티브,naver_internal_unresolved,,S&P 500 and U.S. Treasury Bill 0-3 Month 50/50 Blend Index (USD),thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0060H0,TIGER 토탈월드스탁액티브,naver_internal_unresolved,,FTSE Global All Cap Index(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0061Z0,RISE 단기특수은행채액티브,naver_internal_unresolved,,KAP 단기 특수은행채 지수(시장가격),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0064K0,KODEX 금액티브,naver_internal_unresolved,,Bloomberg Gold Spot NY 4pm USD Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0065G0,KODEX 차이나테크TOP10,naver_internal_unresolved,,Hang Seng China Tech Top 10 Select Index (HKD) (Price Return),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0066W0,SOL 국제금,naver_internal_unresolved,,KEDI 국제금현물 ETF 가격지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0067V0,TIGER 차이나글로벌리더스TOP3+,naver_internal_unresolved,,"Solactive-KEDI 차이나글로벌리더스TOP3플러스 지수 (Price Return, CNH)",thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0067Y0,TIGER 차이나AI소프트웨어,naver_internal_unresolved,,"Mirae Asset China AI Software 지수 (Price Return, HKD)",thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0068M0,KODEX 미국S&P500버퍼6월액티브,naver_internal_unresolved,,S&P500 10% Buffered Index June Series (USD) TR,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0069M0,1Q 미국나스닥100,naver_internal_unresolved,,NASDAQ 100,thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0072R0,TIGER KRX금현물,naver_internal_unresolved,,KRX 금현물지수,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0073X0,FOCUS 알리바바미국채커버드콜혼합,naver_internal_unresolved,,KEDI 알리바바미국채커버드콜혼합지수(TR),thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0074K0,KoAct K수출핵심기업TOP30액티브,naver_internal_unresolved,,KEDI K수출핵심기업TOP30 지수(PR),enriched,52,C,low,low,medium,medium,none,10,3,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0078V0,PLUS 미국로보택시,naver_internal_unresolved,,KEDI 미국로보택시 지수(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0079X0,ACE BYD밸류체인액티브,naver_internal_unresolved,,Bloomberg BYD Plus Top Supply Chain Select Price Return Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0080G0,KODEX 방산TOP10,naver_internal_unresolved,삼성자산운용(주),iSelect 방산 TOP10 지수(Price Return),enriched,66,B,medium,low,medium,medium,low,11,4,true,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력
0080X0,SOL 미국S&P500미국채혼합50,naver_internal_unresolved,,S&P 500 and iBoxx $ Treasuries 7-10Y 5050 Blend Index(USD) PR/TR Hybrid,thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0080Y0,SOL 조선TOP3플러스레버리지,naver_internal_unresolved,신한자산운용 주식회사,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,enriched,70,B,medium,low,medium,medium,low,15,5,true,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력
0082F0,HANARO 유럽방산,naver_internal_unresolved,,Stoxx 유럽 방산 지수,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0082V0,KODEX TDF2060액티브 적격,naver_internal_unresolved,,Samsung Korea Target Date 2060 Index,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0083S0,1Q 미국메디컬AI,naver_internal_unresolved,,KEDI 미국메디컬AI 지수,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0084D0,KIWOOM 미국테크100월간목표헤지액티브,naver_internal_unresolved,,Akros 미국테크100 월간방어적배분 지수(TR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,naver_internal_unresolved,,Akros 미국대형주500 월간방어적배분 지수(TR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0085N0,ACE 미국10년국채액티브(H),naver_internal_unresolved,,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
